Company,Num_layoffs,Pct_impacted,Reported_date,Industry,HQ,Source,Company_status,Notes
Starry,Unclear,50%,10/20/22,"WiFi, hardware",Boston,Starry,Public,
Zeus Living,64,46%,10/20/22,"Home decor, PropTech",San Francisco,San Francisco Business Journal,Private,
Clever Real Estate,Unclear,Unclear,10/19/22,PropTech,St. Louis,St. Louis Business Journal,Private,
AtoB,32,30%,10/19/22,FinTech,San Francisco,SFGate,Private,
Noodle,Unclear,Unclear,10/18/22,EdTech,New York,LinkedIn,Private,
Leafly,56,21%,10/18/22,Cannabis,Seattle,Leafly,Public,
Flipboard,24,21%,10/16/22,News,"Palo Alto, CA",Axios,Private,
Beyond Meat,240,Unclear,10/14/22,Foodtech,"Manhattan Beach, CA",CNBC,Public,Beyond Meat previously laid off 40 employees in August.
Clear Capital,378,27%,10/14/22,PropTech,"Truckee, CA",TechCrunch,Private,
Momentive,Unclear,11%,10/14/22,information technology,"Waterford, MI",TechCrunch,Private,
6sense,150,10%,10/12/22,"Artificial Intelligence, Machine Learning",San Francisco ,MoneyControl,Private,Layoffs largely affected teams in India
Noom,"1,095",Unclear,10/11/22,Fitness/Digital Health,New York,TechCrunch,Private,"The company has laid off more than 1,000 people in the span of a few months."
Pacaso,100,30%,10/11/22,PropTech,San Francisco,Inman,Private,
Udacity,55,13%,10/11/22,"edtech, artificial intelligence","Mountain View, CA",Udacity,Private,
Brex,136,11%,10/11/22,Fintech,San Francisco,TechCrunch,Private,
Redesign Health,67,20%,10/10/22,health care,New York,Fast Company,Private,
Rev.com,85,Unclear,10/7/22,"Speech recognition, artificial intelligence",San Francisco,Austin American-Statesman,Private,
Peloton,"4,084",Unclear,10/6/22,Fitness,New York,CNBC,Public,"Peloton previously laid off 3,584 in February"
Spotify,Unclear,Unclear,10/6/22,Music,"Stockholm, Sweden",TechCrunch,Public,
Built In,Unclear,Unclear,10/5/22,Networking,Chicago,LinkedIn,Private,
Homie,162,Unclear,10/4/22,PropTech,"South Jordan, Utah","TechCrunch, Crunchbase News reporting",Private,"Around 100 people were laid off in February. Another 22 people were laid off in June, the company confirmed to Crunchbase News."
TruePill,Unclear,Unclear,9/30/22,"pharmaceutical, health care","Hayward, CA",TechCrunch,Private,"Truepill previously laid off 175 employees in August, which was roughly 33% of the company"
Spin,78,10%,9/30/22,Transportation,San Francisco,TechCrunch,Private,
DocuSign,Unclear,9%,9/28/22,e-signature,San Francisco,CNBC,Public,
Divvy Homes,40,12%,9/27/22,PropTech,San Franicsco,The Information,Private,
Instacart,Unclear,Unclear,9/24/22,"delivery, e-commerce",San Francisco,The Information,Private,
Pesto,Unclear,100%,9/23/22,"IT, future of work",San Francisco,Pesto announcement,Private,The layoffs were as a result of the company closing
Foxtrot,26,4%,9/23/22,"food and beverage, e-commerce",Chicago,Chicago Business,Private,
Klarna,Unclear,Unclear,9/22/22,Fintech,Stockholm,Sifted,Private,"It's unclear how much of Klarna's U.S.-based workforce was affected by the global layoffs in May. The company reportedly laid off around 650 employees total, representing about 10% of its total workforce. Klarna laid off an additional 100 people in September."
Kitty Hawk,Unclear,100%,9/21/22,aerospace,Mountain View,CNBC,Private,The company announced it would shutter
Compass,Unclear,Unclear,9/20/22,Proptech,New York,Bloomberg,Public,
Curative,109,Unclear,9/20/22,health diagnostics,Los Angeles,Digital Health,Private,
VideoAmp,Unclear,2%,9/19/22,Advertising platforms,Los Angeles,Company memo,Private,
DayTwo,Unclear,Unclear,9/15/22,"Health care, nutrition","Walnut Creek, CA",Calcalistech,Private,
LivePerson,Unclear,Unclear,9/15/22,Customer service,New York,LinkedIn ,Public,
WorkRamp,Unclear,Unclear,9/15/22,"Saas, enterprise software","San Carlos, CA",LinkedIn,Private,
Netflix  ,480,Unclear,9/14/22,Media/entertainment,Los Gatos,Deadline,Public,"First round of cuts in May affected around 150 employees, second round affected about 300. The most recent funding round cut 30 people."
Twilio,800,11%,9/14/22,Enterprise Software,San Francisco,TechCrunch,Public,
Sundae,Unclear,Unclear,9/13/22,PropTech,San Francisco,Confirmed by CB News from sources,Private,
Patreon,80,17%,9/13/22,Social media,San Francisco,The Information,Private,
Taboola,Unclear,6%,9/13/22,Content marketing,New York,Calcalistech,Public,"The company laid off over 100 people, per Calcalist"
Sama,Unclear,Unclear,9/12/22,"AI, enterprise software",San Francisco,Sama,Private,
Rent the Runway,Unclear,24%,9/12/22,"e-commerce, retail",New York,Wall Street Journal,Public,
Karbon,Unclear,23%,9/12/22,"Productivity, task management",San Francisco,"Stuart McLeod, CEO of Karbon",Private,
DreamBox Learning,Unclear,Unclear,9/9/22,EdTech,Seattle,Geekwire,Private,
CommonBond,Unclear,100%,9/9/22,"FinTech, loan repayments",New York,"David Klein, CEO of CommonBond",Private,
Flowhub,Unclear,15%,9/9/22,Cannabis,Dever,Business Insider,Private,
FullStory,Unclear,Unclear,9/8/22,"SaaS, data",Atlanta,"Scott Voigt, CEO of FullStory",Private,
realtor.com,Unclear,Unclear,9/8/22,Proptech,"Santa Clara, CA",SFGate,Private,
BigBear.ai,Unclear,7%,9/8/22,"data analytics, national defense","Columbia, MD",Baltimore Business Journal,Public,
Medly Pharmacy,Unclear,50%,9/7/22,"Pharmacy, health care",New York,Crain's New York,Private,
Brave Care,40,33%,9/6/22,"Pediatrics, telehealth",Portland,The Oregonian,Private,The Orgeonian reported roughly 40 people have been laid off
Medium,Unclear,25%,9/6/22,Publishing,San Francisco,"Lauren Newton, Head of People at Medium",Private,
Juniper Square,Unclear,14%,9/6/22,Proptech,San Francisco,The Real Deal,Private,
Innovaccer,120,8%,9/1/22,"Cloud Infrastructure, health care",San Francisco,Inc42,Private,
The Wing,Unclear,100%,8/31/22,Coworking,New York,The Information,Private,
Snap,1280,20%,8/31/22,Social media,"Venice, CA",The Verge,Public,
GoodRx,140,16%,8/31/22,"Health care, pharmaceuticals",Los Angeles,Seeking Alpha,Public,
Apartment List,Unclear,10%,8/31/22,Proptech,San Francisco,CEO Matthew Woods,Private,
Nate,30,Unclear,8/30/22,E-commerce,New York,The Information,Private,"Nate reportedly had two layoffs. In June, the company laid of 30 people, or 20% of the company at the time."
Skillz,Unclear,Unclear,8/29/22,"Mobile Apps, Gaming",San Francisco,Seeking Alpha,Public,
Fungible,Unclear,Unclear,8/29/22,cryptocurrency,"Santa Clara, CA",Blocks & Files,Private,
Okta,24,Unclear,8/26/22,"Enterprise software, Management information systems",San Francisco,Unleash,Public,
Argyle,20,7%,8/26/22,InsurTech,New York,TechCrunch,Private,
FreshDirect,40,Unclear,8/25/22,"Food delivery, ecommerce","The Bronx, NY",Philadelphia Business Journal,Private,
impact.com,Unclear,10%,8/25/22,Digital marketing,"Santa Barbara, CA",impact.com,Private,
ShipBob,Unclear,7%,8/25/22,"Shipping, Logistics",Chicago,Business Insider ,Private,
Pix,Unclear,Unclear,8/24/22,Foodtech,"Napa, CA",San Francisco Chronicle,Private,
Reali,140,100%,8/24/22,PropTech,"San Mateo, CA",Calcalistech,Private,
DataRobot,,26%,8/23/22,"AI, enterprise software",Boston,The Information,Private,
Amperity,13,3%,8/20/22,"Saas, analytics",Seattle,Geekwire,Private,The startup laid off its recruting staff
Wayfair,870,Unclear,8/19/22,"E-commerce, retail",Boston,Boston Globe,Public,
Thirty Madison,Unclear,10%,8/18/22,"health care, wellness",Greater New York area,Fierce Healthcare,Private,"Axios reported in May the company laid off roughly 3% of its staff, which amounted to 24 people at the time"
New Relic,110,5%,8/18/22,"productivity, enterprise software","Bay Area, CA",MarketWatch,Private,
Tempo Automation,54,Unclear,8/17/22,automotive,San Francisco,San Francisco Business Times,Private,
Malwarebytes,125,14%,8/17/22,"security, enterprise software",San Francisco,TechCrunch,Private,
Edmodo,Unclear,100%,8/16/22,Edtech,"San Mateo, CA",EdSurge,Private,
Woven,5,15%,8/16/22,"Artificial intelligence, recruiting",Indianapolis,AdAge,Private,
Blend,Unclear,25%,8/15/22,"Fintech, proptech",San Francisco,HousingWire,Public,
ThredUp,Unclear,15%,8/15/22,"E-commerce, fashion","Oakland, CA",Retail Dive,Public,
Almanac,Unclear,30%,8/13/22,"Collaboration, productivity",San Francisco,LinkedIn,Private,
Orbit,Unclear,Unclear,8/12/22,Productivity software,San Francisco,Orbit CEO Patrick Woods,Private,Orbit CEO Patrick Woods announced at least 14 people have been laid off
Core Scientific ,Unclear,10%,8/12/22,"Blockchain, cryptocurrency ",Austin,Blockworks,Public,
GoHealth,800,20%,8/11/22,"health care, health insurance",Chicago,Chicago Sun Times,Public,
Homeward,120,20%,8/11/22,"Real Estate, PropTech",Austin,The Real Deal,Private,
Calm,90,20%,8/11/22,"personal health, wellness",San Francisco,Wall Street Journal,Private,
Nutanix,270,4%,8/10/22,"data center, enterprise software",San Jose,SFGate,Public,
Sweetgreen,Unclear,5%,8/9/22,"food and beverage, restaurants","Washington, DC",CNBC,Public,
Vroom,647,Unclear,8/8/22,"Auto, E-commerce",New York,Automotive News,Public,"In May, the company cut 270 jobs, or 14% of its workforce. Vroom announced in August in laid off an additional 337 people."
Warby Parker,63,Unclear,8/8/22,"Ecommerce, Fashion",New York City,Insider,Public,
DataRobot,Unclear,Unclear,8/8/22,Artificial Intelligence,Boston,Boston Globe,Private,"In May, the Information reported the company would lay off 70 people, or 7% of its staff. In August, The Boston Globe said the startup would cut more staff."
Haus,Unclear,100%,8/8/22,food and beverage,"Healdsburg, CA",TechCrunch,Private,
Groupon,500,15%,8/8/22,"ecommerce, retail",Chicago,TechCrunch,Public,TechCrunch reported the company laid off more than 500 employees
Daily Harvest,Unclear,15%,8/8/22,"Food delivery, ecommerce",New York City,Fortune,Private,
iRobot,140,10%,8/5/22,"artificial intelligence, robotics","Bedford, MA",Geekwire,Public,
StubHub,Unclear,Unclear,8/4/22,"E-commerce, ticketing",San Francisco,StubHub on LinkedIn,Private,StubHub announced they would be letting go of the majority of their employees on a LinkedIn post
On Deck,73,Unclear,8/4/22,"Networking, business development",San Francisco,TechCrunch,Private,
Jam City,Unclear,17%,8/4/22,"Mobile Apps, Gaming",Culver City,VentureBeat,Private,Venture Beat reported around 150 to 200 people were laid off
Healthcare.com,149,Unclear,8/3/22,Insurtech,"Miami, FL",Miami Inno,Private,
Glossier,104,Unclear,8/2/22,Beauty,New York,Modern Retail,Private,Glossier laid off 80 people in January. In August a source told Modern Retail it laid off roughly two dozen more people
Nylas,80,Unclear,8/2/22,"Software, Emails, API",San Francisco,Nylas,Private,
Latch ,115,37%,8/2/22,PropTech,"New York, NY",Latch,Public,
Robinhood,"1,013",30%,8/2/22,Fintech,Menlo Park,Robinhood,Public,"Around 300 people (9% of the company) were laid off in April. In August, Robinhood let go of around 23%, or 713, employees."
Outreach,Unclear,5%,8/2/22,Sales Tech,Seattle,LinkedIn,Private,Less than 5% of company was impacted by layoffs.
Oracle,Unclear,Unclear,8/1/22,"SaaS, enterprise software",Austin,The Information,Public,The Information reported thousands of people would be laid off
Imperfect Foods,50,Unclear,8/1/22,"Grocery, e-commerce, delivery service",San Francisco,San Francisco Business Times,Private,The San Francisco Business Times reported about 50 people were laid off
OnlyFans,Unclear,Unclear,8/1/22,"Social media, creator economy",London,Business Insider,Private,OnlyFans is based in the UK but has a sizeable workforce in the US
2U,Unclear,20%,8/1/22,Edtech,"Hyattsville, MD",Inside Higher Ed,Public,
Shelf Engine,43,Unclear,7/29/22,"Food Tech, Software, Grocery Tech",Seattle,GeekWire,Private,LinkedIn estimates company had around 150 employees before layoffs.
Metromile,60,20%,7/29/22,"Insurtech, transportation",San Francisco,Crunchbase,Public,Crunchbase reported about 20% of employees were laid off following Lemonade's acquisition 
Career Karma,60,Unclear,7/28/22,"Career planning, social network",San Francisco,TechCrunch,Private,"According to TechCrunch, sources said about a third of the staff was let go"
Turntide,130,20%,7/28/22,"CleanTech, energy","Sunnyvale, CA",Business Insider,Private,Business Insider estimates around 130 people were laid off
Change.org,Unclear,19%,7/28/22,CivicTech,San Francisco,Change.org,Private,
Rivian,840,6%,7/28/22,"electric vehicle, transportation","Irvine, CA",CNN,Public,
Vox Media,39,2%,7/27/22,"Digital media, journalism","Washington, DC",Axios,Private,Axios reported less than 2% of staff were laid off
People.ai,Unclear,Unclear,7/26/22,"AI, Sales",San Francisco,LinkedIn,Private,
Shopify,1000,10%,7/26/22,E-commerce,"Ottawa, Canada",WSJ,Public,
Outbrain,38,3%,7/26/22,Digital Marketing,New York,CTech,Public,
Pear Therapeutics,25,9%,7/25/22,"Software, Biotech",Boston,MassDevice,Public,
Boosted Commerce,Unclear,5%,7/25/22,E-commerce,Los Angeles,Business Insider ,Private,
Clarify Health,15,5%,7/22/22,Health Care,San Francisco,Axios,Private,
Capsule,Unclear,Unclear,7/21/22,Health Care,New York,Crain's New York,Private,
Rad Power Bikes,163,Unclear,7/21/22,Transporation,Seattle,GeekWire,Private,"First round of layoffs was in April, second round in July."
InVision,Unclear,Unclear,7/21/22,"Visual collaboration, Apps",New York,LinkedIn,Private,
Hydrow,70,35%,7/21/22,Fitness,Boston,Boston Globe,Private,
Lunchbox,Unclear,33%,7/21/22,"Restaurant Tech, Food Tech",New York,Business Insider,Private,
WHOOP,Unclear,15%,7/21/22,Fitness,Boston,Front Office Sports,Private,
98point6,Unclear,10%,7/21/22,Health Care,Seattle,GeekWire,Private,
RealSelf,11,5%,7/21/22,Beauty tech,Seattle,GeekWire,Private,
Varo,75,Unclear,7/20/22,Fintech,San Francisco,Axios,Private,
Arc,13,Unclear,7/20/22,HR Tech,Mountain View,LinkedIn,Private,
Flyhomes,150,20%,7/20/22,"Real Estate, PropTech",Seattle,GeekWire,Private,An estimated 150 employees were laid off.
The Mom Project,54,15%,7/20/22,Talent marketplace,Chicago,LinkedIn,Private,
Olive,450,Unclear,7/19/22,Health Care,Columbus,Olive,Private,
Invitae,1000,Unclear,7/18/22,"Health Care, Biotech",San Francisco,GenomeWeb,Public,
Elemy,Unclear,Unclear,7/18/22,Health Care,San Francisco,Behavioral Health Business,Private,
TikTok,Unclear,Unclear,7/18/22,Social Media,Los Angeles,Wired,Private,"TikTok is owned by China-based ByteDance, but the layoffs affected staff in the U.S."
Lusha,30,10%,7/18/22,Sales tech,New York,CTech,Private,
Gemini,68,7%,7/18/22,Crypto,New York,TechCrunch,Private,
Vimeo,72,6%,7/18/22,Media/entertainment, New York,Business Insider ,Public,"Layoffs affected around 72 employees, based on an estimate of Vimeo's headcount."
Aspire,23,Unclear,7/15/22,Marketing tech,San Francisco,Business Insider ,Private,
Project44,63,5%,7/15/22,Logistics,Chicago,FreightWaves,Private,
Alto Pharmacy,Unclear,Unclear,7/14/22,Health Care,San Francisco,LinkedIn,Private,
OpenSea,Unclear,20%,7/14/22,"Crypto, NFT marketplace",New York,Devin Finzer,Private,
Papa,Unclear,15%,7/14/22,Elder Care,Miami,LinkedIn,Private,
ChowNow,100,Unclear,7/13/22,"Restaurant Tech, Food Tech","Playa Visa, California",TechCrunch,Private,
100 Thieves,12,Unclear,7/13/22,"eSports, Media",Los Angeles,Dexerto,Private,More than a dozen employees were reportedly laid off.
Spring,Unclear,Unclear,7/13/22,E-commerce,San Francisco,Business Insider,Private,
Fabric,120,40%,7/13/22,"E-commerce, Logistics",New York,TechCrunch,Private,
Tonal,262,35%,7/13/22,Fitness,San Francisco,CNBC,Private,
Microsoft,Unclear,Unclear,7/12/22,Enterprise Software,Seattle,Crunchbase News reporting,Public,
Adwerx,40,Unclear,7/12/22,Digital Marketing,"Durham, North Carolina",Inman,Private,
Hubilo,45,Unclear,7/12/22,Virtual Events,San Francisco,Inc42,Private,
Hopin,380,Unclear,7/11/22,Virtual Event,London,TechCrunch,Private,"Unclear how many U.S.-based employees were affected. First round of layoffs was in February, second round was in July."
SundaySky,24,13%,7/11/22,Video Conferencing Software,New York,Globes,Private,"Layoffs affect employees in the U.S., Israel, and Japan."
Forward,Unclear,5%,7/11/22,Health Care,San Francisco,Fierce Healthcare,Private,
Nextbite,Unclear,Unclear,7/8/22,"Restaurant Tech, Food Tech",Denver,Business Insider ,Private,
Butler Hospitality,1000,100%,7/8/22,Hospitality,New York,TechCrunch,Private,"Company ceased operations, per reports."
NextRoll,Unclear,3%,7/8/22,Marketing Tech,San Francisco,Business Insider ,Private,
Cedar,Unclear,24%,7/7/22,Health Care,New York,Business Insider ,Private,
Emotive,30,18%,7/7/22,SMS Marketing,Los Angeles,dot.LA,Private,
Next Insurance,150,17%,7/7/22,InsurTech,Palo Alto,CTech,Private,
Argo AI,150,5%,7/7/22,Transportation,Pittsburgh,TechCrunch,Private,
SQream Technologies,30,18%,7/6/22,Data Analytics,New York,CTech,Private,"SQream is based in New York, but most of the employees affected by layoffs are in Israel, accoring to CTech."
Remote,100,9%,7/6/22,HR Tech,San Francisco,Publico,Private,
Bizzabo,120,30%,7/5/22,Virtual Event,New York,CTech,Private,
Outschool,31,18%,7/5/22,EdTech,San Francisco,TechCrunch,Private,
Verbit,80,10%,7/5/22,Natural Language Processing,New York,CTech,Private,
Celsius,150,25%,7/3/22,Crypto,"Hoboken, New Jersey",CTech,Private,
LetsGetChecked,Unclear,Unclear,7/2/22,Health Care,New York,Business Post,Private,
Teleport,Unclear,Unclear,7/1/22,Cloud Infrastructure,Oakland,Teleport,Private,
WanderJaunt,85,100%,7/1/22,"PropTech, Real Estate",San Francisco,Short Term Rentalz,Private,Company shut down.
Canoo,58,6%,7/1/22,Transportation,"Torrance, California",Business Insider ,Private,
Stream,,10%-15%,6/30/22,Communications Infrastructure,Boulder,Pragmatic Engineer,Private,
Enjoy,400,18%,6/30/22,"E-commerce, Delivery",Palo Alto,Bloomberg,Public,
Abra,12,5%,6/30/22,Crypto,Mountain View,The Block,Private,
Modsy,Unclear,Unclear,6/29/22,E-commerce,San Francisco,TechCrunch,Private,
Degreed,Unclear,Unclear,6/29/22,EdTech,"Pleasanton, CA",LinkedIn,Private,
Baton,16,25%,6/29/22,"Transporation, Logistics",San Francisco,Freight Waves,Private,
HomeLight,Unclear,19%,6/29/22,"Proptech, Real Estate",San Francisco,The Real Deal,Private,
Qumolo,80,19%,6/29/22,Data storage,Seattle,GeekWire,Private,
Substack,13,14%,6/29/22,"Media, Content Creators",San Francisco,New York Times,Private,
AppLovin,300,12%,6/29/22,"Mobile Apps, Developer Tools",Palo Alto,Silicon Valley Business Journal,Public,
Niantic,85,8%,6/29/22,"Video Games, AR",San Francisco,Bloomberg,Private,
Unity,200,4%,6/29/22,Video Games,San Francisco,WSJ,Public,
Sundae,Unclear,15%,6/28/22,"PropTech, Real Estate",San Francisco,Real Trends,Private,
Bright Machines,30,8%,6/28/22,Robotics,San Francisco,CTech,Private,
